Date,Wikipedia[it],
2013-09-04 02,7,
2013-09-04 03,13,
2013-09-04 04,12,
2013-09-04 05,29,
2013-09-04 06,63,
2013-09-04 07,105,
2013-09-04 08,149,
2013-09-04 09,138,
2013-09-04 10,132,
2013-09-04 11,135,
2013-09-04 12,127,
2013-09-04 13,141,
2013-09-04 14,159,
2013-09-04 15,150,
2013-09-04 16,148,
2013-09-04 17,120,
2013-09-04 18,120,
2013-09-04 19,108,
2013-09-04 20,106,
2013-09-04 21,83,
2013-09-04 22,45,
2013-09-05 23,33,
2013-09-05 00,1,
2013-09-05 01,16,
2013-09-05 02,7,
2013-09-05 03,14,
2013-09-05 04,13,
2013-09-05 05,24,
2013-09-05 06,69,
2013-09-05 07,107,
2013-09-05 08,128,
2013-09-05 09,123,
2013-09-05 10,131,
2013-09-05 11,127,
2013-09-05 12,134,
2013-09-05 13,151,
2013-09-05 14,129,
2013-09-05 15,121,
2013-09-05 16,113,
2013-09-05 17,102,
2013-09-05 18,117,
2013-09-05 19,143,
2013-09-05 20,107,
2013-09-05 21,90,
2013-09-05 22,74,
2013-09-06 23,36,
2013-09-06 00,33,
2013-09-06 01,24,
2013-09-06 02,11,
2013-09-06 03,9,
2013-09-06 04,11,
2013-09-06 05,29,
2013-09-06 06,61,
2013-09-06 07,124,
2013-09-06 08,136,
2013-09-06 09,183,
2013-09-06 10,178,
2013-09-06 11,173,
2013-09-06 12,209,
2013-09-06 13,158,
2013-09-06 14,147,
2013-09-06 15,133,
2013-09-06 16,116,
2013-09-06 17,99,
2013-09-06 18,100,
2013-09-06 19,112,
2013-09-06 20,126,
2013-09-06 21,82,
2013-09-06 22,66,
2013-09-07 23,38,
2013-09-07 00,19,
2013-09-07 01,16,
2013-09-07 02,14,
2013-09-07 03,10,
2013-09-07 04,14,
2013-09-07 05,24,
2013-09-07 06,24,
2013-09-07 07,91,
2013-09-07 08,115,
2013-09-07 09,139,
2013-09-07 10,121,
2013-09-07 11,118,
2013-09-07 12,120,
2013-09-07 13,138,
2013-09-07 14,139,
2013-09-07 15,100,
2013-09-07 16,106,
2013-09-07 17,94,
2013-09-07 18,115,
2013-09-07 19,88,
2013-09-07 20,105,
2013-09-07 21,83,
2013-09-07 22,58,
2013-09-08 23,51,
2013-09-08 00,32,
2013-09-08 01,23,
2013-09-08 02,15,
2013-09-08 03,9,
2013-09-08 04,16,
2013-09-08 05,20,
2013-09-08 06,40,
2013-09-08 07,86,
2013-09-08 08,82,
2013-09-08 09,100,
2013-09-08 10,126,
2013-09-08 11,106,
2013-09-08 12,108,
2013-09-08 13,148,
2013-09-08 14,143,
2013-09-08 15,141,
2013-09-08 16,145,
2013-09-08 17,120,
2013-09-08 18,119,
2013-09-08 19,105,
2013-09-08 20,101,
2013-09-08 21,70,
2013-09-08 22,54,
2013-09-09 23,46,
2013-09-09 00,32,
2013-09-09 01,23,
2013-09-09 02,22,
2013-09-09 03,10,
2013-09-09 04,11,
2013-09-09 05,27,
2013-09-09 06,43,
2013-09-09 07,93,
2013-09-09 08,153,
2013-09-09 09,178,
2013-09-09 10,150,
2013-09-09 11,142,
2013-09-09 12,144,
2013-09-09 13,161,
2013-09-09 14,149,
2013-09-09 15,148,
2013-09-09 16,114,
2013-09-09 17,107,
2013-09-09 18,131,
2013-09-09 19,132,
2013-09-09 20,95,
2013-09-09 21,85,
2013-09-09 22,64,
2013-09-10 23,41,
2013-09-10 00,25,
2013-09-10 01,10,
2013-09-10 02,9,
2013-09-10 03,5,
2013-09-10 04,8,
2013-09-10 05,32,
2013-09-10 06,82,
2013-09-10 07,109,
2013-09-10 08,118,
2013-09-10 09,118,
2013-09-10 10,119,
2013-09-10 11,142,
2013-09-10 12,235,
2013-09-10 13,180,
2013-09-10 14,197,
2013-09-10 15,138,
2013-09-10 16,139,
2013-09-10 17,142,
2013-09-10 18,149,
2013-09-10 19,120,
2013-09-10 20,176,
2013-09-10 21,139,
2013-09-10 22,76,
2013-09-11 23,55,
2013-09-11 00,30,
2013-09-11 01,24,
2013-09-11 02,10,
2013-09-11 03,15,
2013-09-11 04,15,
2013-09-11 05,47,
2013-09-11 06,107,
2013-09-11 07,180,
2013-09-11 08,208,
2013-09-11 09,204,
2013-09-11 10,260,
2013-09-11 11,248,
2013-09-11 12,267,
2013-09-11 13,228,
2013-09-11 14,214,
2013-09-11 15,187,
2013-09-11 16,193,
2013-09-11 17,150,
2013-09-11 18,138,
2013-09-11 19,164,
2013-09-11 20,131,
2013-09-11 21,117,
2013-09-11 22,71,
2013-09-12 23,32,
2013-09-12 00,31,
2013-09-12 01,15,
2013-09-12 02,14,
2013-09-12 03,7,
2013-09-12 04,17,
2013-09-12 05,34,
2013-09-12 06,83,
2013-09-12 07,131,
2013-09-12 08,122,
2013-09-12 09,168,
2013-09-12 10,175,
2013-09-12 11,160,
2013-09-12 12,177,
2013-09-12 13,273,
2013-09-12 14,204,
2013-09-12 15,194,
2013-09-12 16,150,
2013-09-12 17,148,
2013-09-12 18,108,
2013-09-12 19,130,
2013-09-12 20,122,
2013-09-12 21,81,
2013-09-12 22,53,
2013-09-13 23,41,
2013-09-13 00,18,
2013-09-13 01,15,
2013-09-13 02,11,
2013-09-13 03,19,
2013-09-13 04,16,
2013-09-13 05,29,
2013-09-13 06,82,
2013-09-13 07,93,
2013-09-13 08,123,
2013-09-13 09,142,
2013-09-13 10,139,
2013-09-13 11,109,
2013-09-13 12,154,
2013-09-13 13,155,
2013-09-13 14,190,
2013-09-13 15,185,
2013-09-13 16,115,
2013-09-13 17,118,
2013-09-13 18,136,
2013-09-13 19,136,
2013-09-13 20,87,
2013-09-13 21,63,
2013-09-13 22,92,
2013-09-14 23,33,
2013-09-14 00,44,
2013-09-14 01,43,
2013-09-14 02,5,
2013-09-14 03,6,
2013-09-14 04,10,
2013-09-14 05,31,
2013-09-14 06,41,
2013-09-14 07,91,
2013-09-14 08,90,
2013-09-14 09,88,
2013-09-14 10,113,
2013-09-14 11,117,
2013-09-14 12,130,
2013-09-14 13,129,
2013-09-14 14,122,
2013-09-14 15,140,
2013-09-14 16,98,
2013-09-14 17,108,
2013-09-14 18,103,
2013-09-14 19,110,
2013-09-14 20,156,
2013-09-14 21,116,
2013-09-14 22,65,
2013-09-15 23,48,
2013-09-15 00,17,
2013-09-15 01,15,
2013-09-15 02,7,
2013-09-15 03,11,
2013-09-15 04,6,
2013-09-15 05,21,
2013-09-15 06,24,
2013-09-15 07,77,
2013-09-15 08,94,
2013-09-15 09,78,
2013-09-15 10,118,
2013-09-15 11,84,
2013-09-15 12,138,
2013-09-15 13,104,
2013-09-15 14,137,
2013-09-15 15,120,
2013-09-15 16,157,
2013-09-15 17,134,
2013-09-15 18,121,
2013-09-15 19,121,
2013-09-15 20,68,
2013-09-15 21,64,
2013-09-15 22,43,
2013-09-16 23,59,
2013-09-16 00,10,
2013-09-16 01,24,
2013-09-16 02,20,
2013-09-16 03,6,
2013-09-16 04,10,
2013-09-16 05,24,
2013-09-16 06,56,
2013-09-16 07,90,
2013-09-16 08,81,
2013-09-16 09,101,
2013-09-16 10,94,
2013-09-16 11,95,
2013-09-16 12,180,
2013-09-16 13,190,
2013-09-16 14,167,
2013-09-16 15,123,
2013-09-16 16,124,
2013-09-16 17,127,
2013-09-16 18,131,
2013-09-16 19,107,
2013-09-16 20,113,
2013-09-16 21,69,
2013-09-16 22,45,
2013-09-17 23,35,
2013-09-17 00,17,
2013-09-17 01,21,
2013-09-17 02,30,
2013-09-17 03,24,
2013-09-17 04,16,
2013-09-17 05,32,
2013-09-17 06,109,
2013-09-17 07,93,
2013-09-17 08,108,
2013-09-17 09,104,
2013-09-17 10,107,
2013-09-17 11,93,
2013-09-17 12,166,
2013-09-17 13,242,
2013-09-17 14,194,
2013-09-17 15,148,
2013-09-17 16,136,
2013-09-17 17,145,
2013-09-17 18,130,
2013-09-17 19,151,
2013-09-17 20,75,
2013-09-17 21,58,
2013-09-17 22,38,
2013-09-18 23,22,
2013-09-18 00,14,
2013-09-18 01,10,
2013-09-18 02,10,
2013-09-18 03,8,
2013-09-18 04,20,
2013-09-18 05,33,
2013-09-18 06,47,
2013-09-18 07,78,
2013-09-18 08,84,
2013-09-18 09,142,
2013-09-18 10,120,
2013-09-18 11,112,
2013-09-18 12,187,
2013-09-18 13,237,
2013-09-18 14,211,
2013-09-18 15,206,
2013-09-18 16,188,
2013-09-18 17,146,
2013-09-18 18,143,
2013-09-18 19,146,
2013-09-18 20,105,
2013-09-18 21,89,
2013-09-18 22,49,
2013-09-19 23,30,
2013-09-19 00,12,
2013-09-19 01,14,
2013-09-19 02,11,
2013-09-19 03,9,
2013-09-19 04,16,
2013-09-19 05,38,
2013-09-19 06,77,
2013-09-19 07,132,
2013-09-19 08,148,
2013-09-19 09,152,
2013-09-19 10,177,
2013-09-19 11,153,
2013-09-19 12,194,
2013-09-19 13,242,
2013-09-19 14,254,
2013-09-19 15,200,
2013-09-19 16,164,
2013-09-19 17,154,
2013-09-19 18,152,
2013-09-19 19,152,
2013-09-19 20,123,
2013-09-19 21,80,
2013-09-19 22,54,
2013-09-20 23,50,
2013-09-20 00,20,
2013-09-20 01,12,
2013-09-20 02,9,
2013-09-20 03,15,
2013-09-20 04,18,
2013-09-20 05,33,
2013-09-20 06,81,
2013-09-20 07,118,
2013-09-20 08,149,
2013-09-20 09,115,
2013-09-20 10,161,
2013-09-20 11,160,
2013-09-20 12,219,
2013-09-20 13,204,
2013-09-20 14,201,
2013-09-20 15,172,
2013-09-20 16,151,
2013-09-20 17,138,
2013-09-20 18,102,
2013-09-20 19,137,
2013-09-20 20,128,
2013-09-20 21,65,
2013-09-20 22,37,
2013-09-21 23,27,
2013-09-21 00,22,
2013-09-21 01,20,
2013-09-21 02,15,
2013-09-21 03,10,
2013-09-21 04,14,
2013-09-21 05,30,
2013-09-21 06,47,
2013-09-21 07,87,
2013-09-21 08,93,
2013-09-21 09,102,
2013-09-21 10,116,
2013-09-21 11,113,
2013-09-21 12,126,
2013-09-21 13,139,
2013-09-21 14,149,
2013-09-21 15,146,
2013-09-21 16,130,
2013-09-21 17,97,
2013-09-21 18,87,
2013-09-21 19,102,
2013-09-21 20,78,
2013-09-21 21,68,
2013-09-21 22,58,
2013-09-22 23,37,
2013-09-22 00,24,
2013-09-22 01,13,
2013-09-22 02,6,
2013-09-22 03,14,
2013-09-22 04,10,
2013-09-22 05,21,
2013-09-22 06,45,
2013-09-22 07,79,
2013-09-22 08,114,
2013-09-22 09,115,
2013-09-22 10,109,
2013-09-22 11,97,
2013-09-22 12,112,
2013-09-22 13,128,
2013-09-22 14,110,
2013-09-22 15,132,
2013-09-22 16,113,
2013-09-22 17,119,
2013-09-22 18,118,
2013-09-22 19,126,
2013-09-22 20,110,
2013-09-22 21,89,
2013-09-22 22,46,
2013-09-23 23,24,
2013-09-23 00,15,
2013-09-23 01,9,
2013-09-23 02,12,
2013-09-23 03,9,
2013-09-23 04,16,
2013-09-23 05,34,
2013-09-23 06,66,
2013-09-23 07,109,
2013-09-23 08,106,
2013-09-23 09,154,
2013-09-23 10,126,
2013-09-23 11,131,
2013-09-23 12,191,
2013-09-23 13,265,
2013-09-23 14,263,
2013-09-23 15,244,
2013-09-23 16,186,
2013-09-23 17,161,
2013-09-23 18,151,
2013-09-23 19,156,
2013-09-23 20,103,
2013-09-23 21,105,
2013-09-23 22,60,
2013-09-24 23,38,
2013-09-24 00,22,
2013-09-24 01,17,
2013-09-24 02,14,
2013-09-24 03,12,
2013-09-24 04,30,
2013-09-24 05,37,
2013-09-24 06,78,
2013-09-24 07,105,
2013-09-24 08,108,
2013-09-24 09,106,
2013-09-24 10,107,
2013-09-24 11,95,
2013-09-24 12,162,
2013-09-24 13,197,
2013-09-24 14,184,
2013-09-24 15,203,
2013-09-24 16,156,
2013-09-24 17,144,
2013-09-24 18,127,
2013-09-24 19,131,
2013-09-24 20,101,
2013-09-24 21,67,
2013-09-24 22,40,
2013-09-25 23,20,
2013-09-25 00,10,
2013-09-25 01,1,
2013-09-25 02,9,
2013-09-25 03,11,
2013-09-25 04,18,
2013-09-25 05,27,
2013-09-25 06,77,
2013-09-25 07,93,
2013-09-25 08,139,
2013-09-25 09,117,
2013-09-25 10,110,
2013-09-25 11,106,
2013-09-25 12,165,
2013-09-25 13,173,
2013-09-25 14,188,
2013-09-25 15,194,
2013-09-25 16,147,
2013-09-25 17,146,
2013-09-25 18,130,
2013-09-25 19,121,
2013-09-25 20,114,
2013-09-25 21,104,
2013-09-25 22,56,
2013-09-26 23,29,
2013-09-26 00,17,
2013-09-26 01,14,
2013-09-26 02,8,
2013-09-26 03,9,
2013-09-26 04,17,
2013-09-26 05,39,
2013-09-26 06,73,
2013-09-26 07,129,
2013-09-26 08,100,
2013-09-26 09,102,
2013-09-26 10,115,
2013-09-26 11,108,
2013-09-26 12,156,
2013-09-26 13,192,
2013-09-26 14,1,
2013-09-26 15,218,
2013-09-26 16,191,
2013-09-26 17,161,
2013-09-26 18,149,
2013-09-26 19,190,
2013-09-26 20,109,
2013-09-26 21,114,
2013-09-26 22,56,
2013-09-27 23,32,
2013-09-27 00,29,
2013-09-27 01,9,
2013-09-27 02,6,
2013-09-27 03,16,
2013-09-27 04,16,
2013-09-27 05,36,
2013-09-27 06,68,
2013-09-27 07,104,
2013-09-27 08,128,
2013-09-27 09,146,
2013-09-27 10,131,
2013-09-27 11,119,
2013-09-27 12,207,
2013-09-27 13,208,
2013-09-27 14,147,
2013-09-27 15,225,
2013-09-27 16,129,
2013-09-27 17,148,
2013-09-27 18,151,
2013-09-27 19,161,
2013-09-27 20,101,
2013-09-27 21,73,
2013-09-27 22,42,
2013-09-28 23,28,
2013-09-28 00,17,
2013-09-28 01,16,
2013-09-28 02,6,
2013-09-28 03,8,
2013-09-28 04,15,
2013-09-28 05,19,
2013-09-28 06,41,
2013-09-28 07,89,
2013-09-28 08,93,
2013-09-28 09,87,
2013-09-28 10,82,
2013-09-28 11,117,
2013-09-28 12,112,
2013-09-28 13,124,
2013-09-28 14,155,
2013-09-28 15,92,
2013-09-28 16,105,
2013-09-28 17,100,
2013-09-28 18,82,
2013-09-28 19,72,
2013-09-28 20,88,
2013-09-28 21,67,
2013-09-28 22,47,
2013-09-29 23,19,
2013-09-29 00,22,
2013-09-29 01,11,
2013-09-29 02,9,
2013-09-29 03,5,
2013-09-29 04,10,
2013-09-29 05,22,
2013-09-29 06,20,
2013-09-29 07,58,
2013-09-29 08,120,
2013-09-29 09,122,
2013-09-29 10,104,
2013-09-29 11,103,
2013-09-29 12,104,
2013-09-29 13,133,
2013-09-29 14,119,
2013-09-29 15,132,
2013-09-29 16,132,
2013-09-29 17,133,
2013-09-29 18,111,
2013-09-29 19,116,
2013-09-29 20,93,
2013-09-29 21,70,
2013-09-29 22,38,
2013-09-30 23,33,
2013-09-30 00,17,
2013-09-30 01,12,
2013-09-30 02,9,
2013-09-30 03,11,
2013-09-30 04,10,
2013-09-30 05,20,
2013-09-30 06,76,
2013-09-30 07,105,
2013-09-30 08,115,
2013-09-30 09,127,
2013-09-30 10,142,
2013-09-30 11,174,
2013-09-30 12,203,
2013-09-30 13,246,
2013-09-30 14,268,
2013-09-30 15,215,
2013-09-30 16,239,
2013-09-30 17,228,
2013-09-30 18,170,
2013-09-30 19,178,
2013-09-30 20,119,
2013-09-30 21,92,
2013-09-30 22,58,
2013-10-01 23,37,
2013-10-01 00,19,
2013-10-01 01,7,
2013-10-01 02,11,
2013-10-01 03,13,
2013-10-01 04,32,
2013-10-01 05,34,
2013-10-01 06,70,
2013-10-01 07,136,
2013-10-01 08,118,
2013-10-01 09,150,
2013-10-01 10,103,
2013-10-01 11,135,
2013-10-01 12,185,
2013-10-01 13,203,
2013-10-01 14,201,
2013-10-01 15,218,
2013-10-01 16,158,
2013-10-01 17,149,
2013-10-01 18,147,
2013-10-01 19,141,
2013-10-01 20,121,
2013-10-01 21,73,
2013-10-01 22,39,
2013-10-02 23,44,
2013-10-02 00,27,
2013-10-02 01,20,
2013-10-02 02,6,
2013-10-02 03,12,
2013-10-02 04,26,
2013-10-02 05,43,
2013-10-02 06,107,
2013-10-02 07,173,
2013-10-02 08,170,
2013-10-02 09,187,
2013-10-02 10,194,
2013-10-02 11,155,
2013-10-02 12,185,
2013-10-02 13,250,
2013-10-02 14,248,
2013-10-02 15,185,
2013-10-02 16,191,
2013-10-02 17,171,
2013-10-02 18,131,
2013-10-02 19,149,
2013-10-02 20,106,
2013-10-02 21,88,
2013-10-02 22,50,
2013-10-03 23,36,
2013-10-03 00,11,
2013-10-03 01,12,
2013-10-03 02,7,
2013-10-03 03,13,
2013-10-03 04,12,
2013-10-03 05,39,
2013-10-03 06,84,
2013-10-03 07,102,
2013-10-03 08,133,
2013-10-03 09,133,
2013-10-03 10,129,
2013-10-03 11,142,
2013-10-03 12,165,
2013-10-03 13,195,
2013-10-03 14,198,
2013-10-03 15,164,
2013-10-03 16,175,
2013-10-03 17,126,
2013-10-03 18,138,
2013-10-03 19,150,
2013-10-03 20,122,
2013-10-03 21,93,
2013-10-03 22,36,
2013-10-04 23,27,
2013-10-04 00,13,
2013-10-04 01,21,
2013-10-04 02,15,
2013-10-04 03,7,
2013-10-04 04,20,
2013-10-04 05,29,
2013-10-04 06,74,
2013-10-04 07,132,
2013-10-04 08,133,
2013-10-04 09,160,
2013-10-04 10,121,
2013-10-04 11,146,
2013-10-04 12,151,
2013-10-04 13,199,
2013-10-04 14,181,
2013-10-04 15,163,
2013-10-04 16,162,
2013-10-04 17,130,
2013-10-04 18,128,
2013-10-04 19,163,
2013-10-04 20,103,
2013-10-04 21,95,
2013-10-04 22,49,
2013-10-05 23,44,
2013-10-05 00,23,
2013-10-05 01,31,
2013-10-05 02,17,
2013-10-05 03,17,
2013-10-05 04,9,
2013-10-05 05,19,
2013-10-05 06,60,
2013-10-05 07,98,
2013-10-05 08,113,
2013-10-05 09,161,
2013-10-05 10,142,
2013-10-05 11,148,
2013-10-05 12,176,
2013-10-05 13,194,
2013-10-05 14,170,
2013-10-05 15,159,
2013-10-05 16,167,
2013-10-05 17,143,
2013-10-05 18,116,
2013-10-05 19,105,
2013-10-05 20,128,
2013-10-05 21,112,
2013-10-05 22,62,
2013-10-06 23,51,
2013-10-06 00,38,
2013-10-06 01,25,
2013-10-06 02,13,
2013-10-06 03,5,
2013-10-06 04,7,
2013-10-06 05,16,
2013-10-06 06,52,
2013-10-06 07,82,
2013-10-06 08,169,
2013-10-06 09,195,
2013-10-06 10,168,
2013-10-06 11,151,
2013-10-06 12,162,
2013-10-06 13,176,
2013-10-06 14,197,
2013-10-06 15,218,
2013-10-06 16,217,
2013-10-06 17,177,
2013-10-06 18,160,
2013-10-06 19,174,
2013-10-06 20,152,
2013-10-06 21,103,
2013-10-06 22,61,
2013-10-07 23,53,
2013-10-07 00,27,
2013-10-07 01,16,
2013-10-07 02,17,
2013-10-07 03,8,
2013-10-07 04,12,
2013-10-07 05,39,
2013-10-07 06,68,
2013-10-07 07,112,
2013-10-07 08,133,
2013-10-07 09,145,
2013-10-07 10,137,
2013-10-07 11,158,
2013-10-07 12,175,
2013-10-07 13,236,
2013-10-07 14,237,
2013-10-07 15,228,
2013-10-07 16,219,
2013-10-07 17,193,
2013-10-07 18,156,
2013-10-07 19,161,
2013-10-07 20,110,
2013-10-07 21,112,
2013-10-07 22,72,
2013-10-08 23,37,
2013-10-08 00,23,
2013-10-08 01,17,
2013-10-08 02,6,
2013-10-08 03,11,
2013-10-08 04,17,
2013-10-08 05,30,
2013-10-08 06,81,
2013-10-08 07,156,
2013-10-08 08,150,
2013-10-08 09,144,
2013-10-08 10,140,
2013-10-08 11,164,
2013-10-08 12,172,
2013-10-08 13,236,
2013-10-08 14,247,
2013-10-08 15,221,
2013-10-08 16,186,
2013-10-08 17,147,
2013-10-08 18,139,
2013-10-08 19,169,
2013-10-08 20,133,
2013-10-08 21,104,
2013-10-08 22,62,
2013-10-09 23,25,
2013-10-09 00,29,
2013-10-09 01,10,
2013-10-09 02,9,
2013-10-09 03,11,
2013-10-09 04,21,
2013-10-09 05,33,
2013-10-09 06,1,
2013-10-09 07,139,
2013-10-09 08,145,
2013-10-09 09,156,
2013-10-09 10,157,
2013-10-09 11,144,
2013-10-09 12,219,
2013-10-09 13,210,
2013-10-09 14,233,
2013-10-09 15,243,
2013-10-09 16,186,
2013-10-09 17,202,
2013-10-09 18,149,
2013-10-09 19,181,
2013-10-09 20,142,
2013-10-09 21,140,
2013-10-09 22,53,
2013-10-10 23,40,
2013-10-10 00,23,
2013-10-10 01,18,
2013-10-10 02,16,
2013-10-10 03,12,
2013-10-10 04,21,
2013-10-10 05,34,
2013-10-10 06,87,
2013-10-10 07,149,
2013-10-10 08,129,
2013-10-10 09,138,
2013-10-10 10,158,
2013-10-10 11,144,
2013-10-10 12,203,
2013-10-10 13,213,
2013-10-10 14,208,
2013-10-10 15,227,
2013-10-10 16,183,
2013-10-10 17,167,
2013-10-10 18,148,
2013-10-10 19,147,
2013-10-10 20,134,
2013-10-10 21,73,
2013-10-10 22,59,
2013-10-11 23,37,
2013-10-11 00,15,
2013-10-11 01,19,
2013-10-11 02,11,
2013-10-11 03,7,
2013-10-11 04,14,
2013-10-11 05,39,
2013-10-11 06,78,
2013-10-11 07,118,
2013-10-11 08,145,
2013-10-11 09,148,
2013-10-11 10,154,
2013-10-11 11,146,
2013-10-11 12,171,
2013-10-11 13,225,
2013-10-11 14,199,
2013-10-11 15,203,
2013-10-11 16,169,
2013-10-11 17,172,
2013-10-11 18,133,
2013-10-11 19,147,
2013-10-11 20,109,
2013-10-11 21,115,
2013-10-11 22,68,
2013-10-12 23,69,
2013-10-12 00,19,
2013-10-12 01,16,
2013-10-12 02,6,
2013-10-12 03,6,
2013-10-12 04,19,
2013-10-12 05,18,
2013-10-12 06,51,
2013-10-12 07,106,
2013-10-12 08,114,
2013-10-12 09,128,
2013-10-12 10,134,
2013-10-12 11,120,
2013-10-12 12,135,
2013-10-12 13,196,
2013-10-12 14,167,
2013-10-12 15,139,
2013-10-12 16,142,
2013-10-12 17,115,
2013-10-12 18,136,
2013-10-12 19,115,
2013-10-12 20,132,
2013-10-12 21,96,
2013-10-12 22,70,
2013-10-13 23,51,
2013-10-13 00,25,
2013-10-13 01,16,
2013-10-13 02,12,
2013-10-13 03,10,
2013-10-13 04,16,
2013-10-13 05,30,
2013-10-13 06,39,
2013-10-13 07,71,
2013-10-13 08,128,
2013-10-13 09,131,
2013-10-13 10,130,
2013-10-13 11,126,
2013-10-13 12,171,
2013-10-13 13,160,
2013-10-13 14,171,
2013-10-13 15,179,
2013-10-13 16,180,
2013-10-13 17,158,
2013-10-13 18,152,
2013-10-13 19,156,
2013-10-13 20,109,
2013-10-13 21,92,
2013-10-13 22,40,
2013-10-14 23,37,
2013-10-14 00,23,
2013-10-14 01,27,
2013-10-14 02,11,
2013-10-14 03,13,
2013-10-14 04,11,
2013-10-14 05,34,
2013-10-14 06,88,
2013-10-14 07,113,
2013-10-14 08,151,
2013-10-14 09,155,
2013-10-14 10,169,
2013-10-14 11,141,
2013-10-14 12,227,
2013-10-14 13,246,
2013-10-14 14,258,
2013-10-14 15,231,
2013-10-14 16,221,
2013-10-14 17,161,
2013-10-14 18,193,
2013-10-14 19,186,
2013-10-14 20,164,
2013-10-14 21,111,
2013-10-14 22,60,
2013-10-15 23,55,
2013-10-15 00,40,
2013-10-15 01,35,
2013-10-15 02,22,
2013-10-15 03,15,
2013-10-15 04,75,
2013-10-15 05,28,
2013-10-15 06,82,
2013-10-15 07,127,
2013-10-15 08,162,
2013-10-15 09,201,
2013-10-15 10,206,
2013-10-15 11,160,
2013-10-15 12,200,
2013-10-15 13,277,
2013-10-15 14,260,
2013-10-15 15,220,
2013-10-15 16,223,
2013-10-15 17,166,
2013-10-15 18,150,
2013-10-15 19,163,
2013-10-15 20,123,
2013-10-15 21,81,
2013-10-15 22,64,
2013-10-16 23,41,
2013-10-16 00,26,
2013-10-16 01,18,
2013-10-16 02,23,
2013-10-16 03,27,
2013-10-16 04,27,
2013-10-16 05,41,
2013-10-16 06,79,
2013-10-16 07,169,
2013-10-16 08,150,
2013-10-16 09,185,
2013-10-16 10,132,
2013-10-16 11,149,
2013-10-16 12,202,
2013-10-16 13,229,
2013-10-16 14,184,
2013-10-16 15,178,
2013-10-16 16,202,
2013-10-16 17,142,
2013-10-16 18,120,
2013-10-16 19,125,
2013-10-16 20,78,
2013-10-16 21,66,
2013-10-16 22,44,
2013-10-17 23,29,
2013-10-17 00,25,
2013-10-17 01,14,
2013-10-17 02,15,
2013-10-17 03,7,
2013-10-17 04,17,
2013-10-17 05,30,
2013-10-17 06,62,
2013-10-17 07,92,
2013-10-17 08,115,
2013-10-17 09,91,
2013-10-17 10,107,
2013-10-17 11,104,
2013-10-17 12,152,
2013-10-17 13,183,
2013-10-17 14,209,
2013-10-17 15,147,
2013-10-17 16,119,
2013-10-17 17,143,
2013-10-17 18,141,
2013-10-17 19,107,
2013-10-17 20,117,
2013-10-17 21,64,
2013-10-17 22,32,
2013-10-18 23,24,
2013-10-18 00,20,
2013-10-18 01,16,
2013-10-18 02,13,
2013-10-18 03,14,
2013-10-18 04,27,
2013-10-18 05,42,
2013-10-18 06,72,
2013-10-18 07,143,
2013-10-18 08,124,
2013-10-18 09,162,
2013-10-18 10,145,
2013-10-18 11,124,
2013-10-18 12,167,
2013-10-18 13,200,
2013-10-18 14,185,
2013-10-18 15,150,
2013-10-18 16,156,
2013-10-18 17,117,
2013-10-18 18,123,
2013-10-18 19,126,
2013-10-18 20,101,
2013-10-18 21,98,
2013-10-18 22,55,
2013-10-19 23,33,
2013-10-19 00,38,
2013-10-19 01,7,
2013-10-19 02,18,
2013-10-19 03,10,
2013-10-19 04,13,
2013-10-19 05,32,
2013-10-19 06,58,
2013-10-19 07,119,
2013-10-19 08,159,
2013-10-19 09,170,
2013-10-19 10,150,
2013-10-19 11,158,
2013-10-19 12,222,
2013-10-19 13,212,
2013-10-19 14,168,
2013-10-19 15,151,
2013-10-19 16,166,
2013-10-19 17,160,
2013-10-19 18,139,
2013-10-19 19,128,
2013-10-19 20,146,
2013-10-19 21,100,
2013-10-19 22,81,
2013-10-20 23,48,
2013-10-20 00,40,
2013-10-20 01,25,
2013-10-20 02,16,
2013-10-20 03,7,
2013-10-20 04,31,
2013-10-20 05,26,
2013-10-20 06,65,
2013-10-20 07,101,
2013-10-20 08,370,
2013-10-20 09,179,
2013-10-20 10,154,
2013-10-20 11,116,
2013-10-20 12,152,
2013-10-20 13,170,
2013-10-20 14,144,
2013-10-20 15,161,
2013-10-20 16,175,
2013-10-20 17,151,
2013-10-20 18,109,
2013-10-20 19,154,
2013-10-20 20,137,
2013-10-20 21,107,
2013-10-20 22,44,
2013-10-21 23,20,
2013-10-21 00,13,
2013-10-21 01,20,
2013-10-21 02,11,
2013-10-21 03,9,
2013-10-21 04,16,
2013-10-21 05,29,
2013-10-21 06,82,
2013-10-21 07,136,
2013-10-21 08,193,
2013-10-21 09,217,
2013-10-21 10,220,
2013-10-21 11,172,
2013-10-21 12,194,
2013-10-21 13,245,
2013-10-21 14,234,
2013-10-21 15,177,
2013-10-21 16,181,
2013-10-21 17,129,
2013-10-21 18,130,
2013-10-21 19,152,
2013-10-21 20,92,
2013-10-21 21,67,
2013-10-21 22,56,
2013-10-22 23,18,
2013-10-22 00,13,
2013-10-22 01,6,
2013-10-22 02,7,
2013-10-22 03,5,
2013-10-22 04,19,
2013-10-22 05,27,
2013-10-22 06,72,
2013-10-22 07,87,
2013-10-22 08,110,
2013-10-22 09,95,
2013-10-22 10,87,
2013-10-22 11,105,
2013-10-22 12,113,
2013-10-22 13,135,
2013-10-22 14,163,
